NMUESTRA,LONGITUD,LATITUD,ELEVACION,Pathf Au-Ag,Perjudiciales lixivcn,,,,,,,,,,,,
14564,793374.75,81195.53,1627.31,-4.84878838,-6.744317761,,,,,,,,,,,,
14565,785844.74,82105.39,1400.7,-5.107683202,-7.746196173,,,,,,,,,,,,
14588,789940.59,83232.03,1399.91,-5.074312418,-7.571934552,,,,,,,,,,,,
14605,784402.31,78942.10,1253.81,-5.021827585,-7.174718326,,,,,,,,,,,,
14621,783758.85,79427.20,1196.7,-4.99083656,-7.101787768,,,,,,,,,,,,
14623,783670.48,79483.52,1196.78,-5.322251552,-7.948446322,,,,,,,,,,,,
14643,789324.12,86256.53,1212.2,-5.355482383,-7.909604262,,,,,,,,,,,,
14648,784539.39,79236.89,1203.93,-5.280095027,-7.836025993,,,,,,,,,,,,
14664,786015.48,82463.88,1399.92,-5.280444227,-7.884506742,,,,,,,,,,,,
14665,789202.26,85811.03,1199,-5.216378648,-7.75917394,,,,,,,,,,,,
14669,787443.71,85234.81,1199.9,-5.206305923,-7.815429272,,,,,,,,,,,,
14686,787368.52,82831.45,1256.18,-5.02305775,-7.589173888,,,,,,,,,,,,
14691,788328.81,82004.24,1398.79,-5.223155197,-7.776185159,,,,,,,,,,,,
14753,788336.98,80260.80,1434.04,-5.169857967,-7.651934182,,,,,,,,,,,,
14764,788746.66,82871.82,1366.88,-5.140087724,-7.622876809,,,,,,,,,,,,
14765,788259.97,85369.72,1199.75,-5.099083243,-7.617612916,,,,,,,,,,,,
